Views_show,Visitors,Views_platform,Ad_impression
183738,1260228,1706478,1060860448
193763,1270561,1690727,1031846645
210479,1248183,1726157,1010867575
240061,1492913,1855353,1079194579
446314,1594712,2041418,1357736987
342997,1330689,1742540,1140228426
227313,1363579,1821742,1113811802
180313,1353483,1795456,1083475096
178800,1345428,1794157,1067636147
201180,1344540,1834967,1081234843
218956,1500926,1926280,1119900035
437117,1554859,2015050,1390620085
263638,1438887,1808967,1231295791
185896,1459500,1864134,1210330496
184346,1410668,1896352,1189319112
132409,1394130,1867785,1152287474
169225,1438125,1885937,1172698178
251851,1582773,2016477,1329477115
476130,1723653,2155393,1714732753
279880,1528669,1924030,1588375831
215077,1538487,2015064,1554738251
173280,1474098,1967000,1439043318
200993,1484382,1998116,1420880566
206830,1461298,1965232,1402238110
236106,1678527,2096071,1469853604
650563,1924046,2465763,2158026705
460492,1612675,2165206,1928850028
379396,1635533,2241286,1830391771
343223,1568398,2224833,1710096924
333613,1630580,2134012,1654933815
281706,1588526,1998083,1557197792
296772,1684842,2186053,1663798844
679522,1902556,2535991,2424202948
418659,1668290,2226838,2162241492
360660,1727040,2347514,1972773720
244916,1615949,2184161,1690425253
218302,1589841,2172278,1629943055
235508,1568119,2149159,1477621057
465382,1834463,2543190,1741517106
691068,1981242,2726690,2122330957
353292,1689178,2279573,1701965040
272079,1700031,2344060,1525321166
190287,1598403,2281562,1407426028
206740,1613314,2309186,1361116025
234306,1697655,2434685,1359796055
537050,1917386,2795683,1700040542
758631,2026102,2933930,1992525162
376879,1811644,2509254,1639833687
241042,1812134,2492946,1498413829
197201,1796219,2420223,1391566531
169074,1785345,2390240,1346215059
182208,1810697,2387054,1323744093
369758,2143350,2704661,1336157323
712778,2344650,3064422,1890967819
349008,2060757,2560083,1590193671
218466,1928796,2441818,1383577770
208445,1848354,2388369,1294777190
164043,1772449,2303380,1216537437
162815,1727098,2189048,1145369229
266086,1953231,2462984,1200654188
544814,2187064,2731451,1698345214
279700,1904704,2323887,1623666951
196026,1816855,2294150,1388283566
162150,1780230,2278880,1262254571
143112,1731468,2214359,1199377174
140666,1738676,2160395,1189257839
280065,2016144,2423599,1342773863
562943,2163629,2681882,1686752144
271341,1840748,2249542,1403797010
217791,1821016,2313219,1321700567
142302,1784534,2256757,1229347176
110202,1689260,2145511,1146505497
102520,1697576,2135342,1161183285
253228,1900320,2340236,1190253439
631962,2135756,2603553,1614010862
313945,1808684,2226788,1398052759
185689,1814227,2199844,1311961223
142260,1755803,2225752,1248266254
135871,1749654,2302789,1284859759
108961,1746735,2279036,1246026846
